kommunenr_src,kommunenavn_src,kommunenr_2020,kommune_2020,kommunenr_2024,kommuner_2024
3001,Halden,3001,Halden,3101,Halden
0101,Halden (-2019),3001,Halden,3101,Halden
0301,Oslo kommune,0301,Oslo,0301,Oslo
1101,Eigersund,1101,Eigersund,1101,Eigersund
3002,Moss,3002,Moss,3103,Moss
0104,Moss (-2019),3002,Moss,3103,Moss
0136,Rygge (-2019),3002,Moss,3103,Moss
1103,Stavanger,1103,Stavanger,1103,Stavanger
1141,Finnøy (-2019),1103,Stavanger,1103,Stavanger
1142,Rennesøy (-2019),1103,Stavanger,1103,Stavanger
1106,Haugesund,1106,Haugesund,1106,Haugesund
1102,Sandnes (-2019),1108,Sandnes,1108,Sandnes
1129,Forsand (-2019),1108,Sandnes,1108,Sandnes
3003,Sarpsborg,3003,Sarpsborg,3105,Sarpsborg
0105,Sarpsborg (1992-2019),3003,Sarpsborg,3105,Sarpsborg
1111,Sokndal,1111,Sokndal,1111,Sokndal
1112,Lund,1112,Lund,1112,Lund
1114,Bjerkreim,1114,Bjerkreim,1114,Bjerkreim
3004,Fredrikstad,3004,Fredrikstad,3107,Fredrikstad
0106,Fredrikstad (1994-2019),3004,Fredrikstad,3107,Fredrikstad
1119,Hå,1119,Hå,1119,Hå
1120,Klepp,1120,Klepp,1120,Klepp
0111,Hvaler (-2019),3011,Hvaler,3110,Hvaler
3011,Hvaler,3011,Hvaler,3110,Hvaler
1121,Time,1121,Time,1121,Time
1122,Gjesdal,1122,Gjesdal,1122,Gjesdal
3017,Råde,3017,Råde,3112,Råde
0135,Råde (-2019),3017,Råde,3112,Råde
1124,Sola,1124,Sola,1124,Sola
1127,Randaberg,1127,Randaberg,1127,Randaberg
3018,Våler (Viken),3018,Våler (Viken),3114,Våler
0137,Våler (Østfold) (-2019),3018,Våler (Viken),3114,Våler
1130,Strand,1130,Strand,1130,Strand
1133,Hjelmeland,1133,Hjelmeland,1133,Hjelmeland
3015,Skiptvet,3015,Skiptvet,3116,Skiptvet
0127,Skiptvet (-2019),3015,Skiptvet,3116,Skiptvet
1134,Suldal,1134,Suldal,1134,Suldal
1135,Sauda,1135,Sauda,1135,Sauda
3005,Drammen,3005,Drammen,3301,Drammen
0602,Drammen (-2019),3005,Drammen,3301,Drammen
0625,Nedre Eiker (-2019),3005,Drammen,3301,Drammen
0711,Svelvik (1964-2019),3005,Drammen,3301,Drammen
1144,Kvitsøy,1144,Kvitsøy,1144,Kvitsøy
1145,Bokn,1145,Bokn,1145,Bokn
1146,Tysvær,1146,Tysvær,1146,Tysvær
1149,Karmøy,1149,Karmøy,1149,Karmøy
3014,Indre Østfold,3014,Indre Østfold,3118,Indre Østfold
0122,Trøgstad (-2019),3014,Indre Østfold,3118,Indre Østfold
0123,Spydeberg (-2019),3014,Indre Østfold,3118,Indre Østfold
0124,Askim (-2019),3014,Indre Østfold,3118,Indre Østfold
0125,Eidsberg (-2019),3014,Indre Østfold,3118,Indre Østfold
0138,Hobøl (-2019),3014,Indre Østfold,3118,Indre Østfold
1151,Utsira,1151,Utsira,1151,Utsira
1160,Vindafjord,1160,Vindafjord,1160,Vindafjord
1505,Kristiansund,1505,Kristiansund,1505,Kristiansund
1502,Molde (-2019),1506,Molde,1506,Molde
1543,Nesset (-2019),1506,Molde,1506,Molde
1545,Midsund (1965-2019),1506,Molde,1506,Molde
1504,Ålesund (1977-2019),1507,Ålesund,1508,Ålesund
1523,Ørskog (1977-2019),1507,Ålesund,1508,Ålesund
1529,Skodje (-2019),1507,Ålesund,1508,Ålesund
1546,Sandøy (-2019),1507,Ålesund,1508,Ålesund
1511,Vanylven,1511,Vanylven,1511,Vanylven
3016,Rakkestad,3016,Rakkestad,3120,Rakkestad
0128,Rakkestad (-2019),3016,Rakkestad,3120,Rakkestad
1514,Sande (Møre og Romsdal),1514,Sande,1514,Sande
1515,Herøy (Møre og Romsdal),1515,Herøy (Møre og Romsdal),1515,Herøy (Møre og Romsdal)
3006,Kongsberg,3006,Kongsberg,3303,Kongsberg
0604,Kongsberg (-2019),3006,Kongsberg,3303,Kongsberg
1516,Ulstein,1516,Ulstein,1516,Ulstein
1517,Hareid,1517,Hareid,1517,Hareid
3013,Marker,3013,Marker,3122,Marker
0119,Marker (1964-2019),3013,Marker,3122,Marker
1520,Ørsta,1520,Ørsta,1520,Ørsta
1525,Stranda,1525,Stranda,1525,Stranda
0118,Aremark (-2019),3012,Aremark,3124,Aremark
3012,Aremark,3012,Aremark,3124,Aremark
1528,Sykkylven,1528,Sykkylven,1528,Sykkylven
1531,Sula,1531,Sula,1531,Sula
3007,Ringerike,3007,Ringerike,3305,Ringerike
0605,Ringerike (1977-2019),3007,Ringerike,3305,Ringerike
1532,Giske,1532,Giske,1532,Giske
1535,Vestnes,1535,Vestnes,1535,Vestnes
3024,Bærum,3024,Bærum,3201,Bærum
0219,Bærum (-2019),3024,Bærum,3201,Bærum
1539,Rauma,1539,Rauma,1539,Rauma
1547,Aukra,1547,Aukra,1547,Aukra
3025,Asker,3025,Asker,3203,Asker
0220,Asker (-2019),3025,Asker,3203,Asker
0627,Røyken (-2019),3025,Asker,3203,Asker
0628,Hurum (-2019),3025,Asker,3203,Asker
1554,Averøy,1554,Averøy,1554,Averøy
1557,Gjemnes,1557,Gjemnes,1557,Gjemnes
1560,Tingvoll,1560,Tingvoll,1560,Tingvoll
1563,Sunndal,1563,Sunndal,1563,Sunndal
3030,Lillestrøm,3030,Lillestrøm,3205,Lillestrøm
0226,Sørum (-2019),3030,Lillestrøm,3205,Lillestrøm
0227,Fet (-2019),3030,Lillestrøm,3205,Lillestrøm
0231,Skedsmo (-2019),3030,Lillestrøm,3205,Lillestrøm
1566,Surnadal,1566,Surnadal,1566,Surnadal
1573,Smøla,1573,Smøla,1573,Smøla
1576,Aure,1576,Aure,1576,Aure
1444,Hornindal (-2019),1577,Volda,1577,Volda
1519,Volda (-2019),1577,Volda,1577,Volda
3020,Nordre Follo,3020,Nordre Follo,3207,Nordre Follo
0213,Ski (1931-2019),3020,Nordre Follo,3207,Nordre Follo
0217,Oppegård (1915-2019),3020,Nordre Follo,3207,Nordre Follo
1524,Norddal (-2019),1578,Fjord,1578,Fjord
1526,Stordal (-2019),1578,Fjord,1578,Fjord
1548,Fræna (-2019),1579,Hustadvika,1579,Hustadvika
1551,Eide (-2019),1579,Hustadvika,1579,Hustadvika
1534,Haram (-2019),1507,Ålesund,1580,Haram
3033,Ullensaker,3033,Ullensaker,3209,Ullensaker
0235,Ullensaker (-2019),3033,Ullensaker,3209,Ullensaker
1804,Bodø,1804,Bodø,1804,Bodø
1805,Narvik (-2019),1806,Narvik,1806,Narvik
1850,Divtasvuodna - Tysfjord (-2019),1806,Narvik,1806,Narvik
3023,Nesodden,3023,Nesodden,3212,Nesodden
0216,Nesodden (-2019),3023,Nesodden,3212,Nesodden
3022,Frogn,3022,Frogn,3214,Frogn
0215,Frogn (-2019),3022,Frogn,3214,Frogn
3019,Vestby,3019,Vestby,3216,Vestby
0211,Vestby (-2019),3019,Vestby,3216,Vestby
3021,Ås,3021,Ås,3218,Ås
0214,Ås (-2019),3021,Ås,3218,Ås
3028,Enebakk,3028,Enebakk,3220,Enebakk
0229,Enebakk (-2019),3028,Enebakk,3220,Enebakk
3029,Lørenskog,3029,Lørenskog,3222,Lørenskog
0230,Lørenskog (1908-2019),3029,Lørenskog,3222,Lørenskog
0121,Rømskog (-2019),3026,Aurskog-Høland,3226,Aurskog-Høland
3026,Aurskog-Høland,3026,Aurskog-Høland,3226,Aurskog-Høland
0221,Aurskog-Høland (1966-2019),3026,Aurskog-Høland,3226,Aurskog-Høland
3027,Rælingen,3027,Rælingen,3224,Rælingen
0228,Rælingen (1929-2019),3027,Rælingen,3224,Rælingen
3034,Nes,3034,Nes,3228,Nes
0236,Nes (Akershus) (-2019),3034,Nes,3228,Nes
3032,Gjerdrum,3032,Gjerdrum,3230,Gjerdrum
0234,Gjerdrum (-2019),3032,Gjerdrum,3230,Gjerdrum
3031,Nittedal,3031,Nittedal,3232,Nittedal
0233,Nittedal (-2019),3031,Nittedal,3232,Nittedal
3054,Lunner,3054,Lunner,3234,Lunner
0533,Lunner (-2019),3054,Lunner,3234,Lunner
3053,Jevnaker,3053,Jevnaker,3236,Jevnaker
0532,Jevnaker (-2019),3053,Jevnaker,3236,Jevnaker
3036,Nannestad,3036,Nannestad,3238,Nannestad
0238,Nannestad (-2019),3036,Nannestad,3238,Nannestad
3035,Eidsvoll,3035,Eidsvoll,3240,Eidsvoll
0237,Eidsvoll (-2019),3035,Eidsvoll,3240,Eidsvoll
3037,Hurdal,3037,Hurdal,3242,Hurdal
0239,Hurdal (-2019),3037,Hurdal,3242,Hurdal
3038,Hole,3038,Hole,3310,Hole
0612,Hole (1977-2019),3038,Hole,3310,Hole
3049,Lier,3049,Lier,3312,Lier
0626,Lier (-2019),3049,Lier,3312,Lier
3048,Øvre Eiker,3048,Øvre Eiker,3314,Øvre Eiker
0624,Øvre Eiker (-2019),3048,Øvre Eiker,3314,Øvre Eiker
3047,Modum,3047,Modum,3316,Modum
0623,Modum (-2019),3047,Modum,3316,Modum
3046,Krødsherad,3046,Krødsherad,3318,Krødsherad
0622,Krødsherad (-2019),3046,Krødsherad,3318,Krødsherad
3039,Flå,3039,Flå,3320,Flå
0615,Flå (-2019),3039,Flå,3320,Flå
3040,Nesbyen,3040,Nesbyen,3322,Nesbyen
0616,Nes (Buskerud) (-2019),3040,Nesbyen,3322,Nesbyen
3041,Gol,3041,Gol,3324,Gol
0617,Gol (-2019),3041,Gol,3324,Gol
3042,Hemsedal,3042,Hemsedal,3326,Hemsedal
0618,Hemsedal (-2019),3042,Hemsedal,3326,Hemsedal
3043,Ål,3043,Ål,3328,Ål
0619,Ål (-2019),3043,Ål,3328,Ål
3044,Hol,3044,Hol,3330,Hol
0620,Hol (-2019),3044,Hol,3330,Hol
3045,Sigdal,3045,Sigdal,3332,Sigdal
0621,Sigdal (-2019),3045,Sigdal,3332,Sigdal
3050,Flesberg,3050,Flesberg,3334,Flesberg
0631,Flesberg (-2019),3050,Flesberg,3334,Flesberg
3051,Rollag,3051,Rollag,3336,Rollag
0632,Rollag (-2019),3051,Rollag,3336,Rollag
3052,Nore og Uvdal,3052,Nore og Uvdal,3338,Nore og Uvdal
0633,Nore og Uvdal (1962-2019),3052,Nore og Uvdal,3338,Nore og Uvdal
0402,Kongsvinger (-2019),3401,Kongsvinger,3401,Kongsvinger
3401,Kongsvinger,3401,Kongsvinger,3401,Kongsvinger
0403,Hamar (1992-2019),3403,Hamar,3403,Hamar
3403,Hamar,3403,Hamar,3403,Hamar
0412,Ringsaker (-2019),3411,Ringsaker,3411,Ringsaker
3411,Ringsaker,3411,Ringsaker,3411,Ringsaker
0415,Løten (-2019),3412,Løten,3412,Løten
3412,Løten,3412,Løten,3412,Løten
0417,Stange (-2019),3413,Stange,3413,Stange
3413,Stange,3413,Stange,3413,Stange
0418,Nord-Odal (-2019),3414,Nord-Odal,3414,Nord-Odal
3414,Nord-Odal,3414,Nord-Odal,3414,Nord-Odal
0419,Sør-Odal (-2019),3415,Sør-Odal,3415,Sør-Odal
3415,Sør-Odal,3415,Sør-Odal,3415,Sør-Odal
0420,Eidskog (-2019),3416,Eidskog,3416,Eidskog
3416,Eidskog,3416,Eidskog,3416,Eidskog
0423,Grue (-2019),3417,Grue,3417,Grue
3417,Grue,3417,Grue,3417,Grue
0425,Åsnes (-2019),3418,Åsnes,3418,Åsnes
3418,Åsnes,3418,Åsnes,3418,Åsnes
0426,Våler (Hedmark) (-2019),3419,Våler (Innlandet),3419,Våler (Innlandet)
3419,Våler (Innlandet),3419,Våler (Innlandet),3419,Våler (Innlandet)
0427,Elverum (-2019),3420,Elverum,3420,Elverum
3420,Elverum,3420,Elverum,3420,Elverum
0428,Trysil (-2019),3421,Trysil,3421,Trysil
3421,Trysil,3421,Trysil,3421,Trysil
0429,Åmot (-2019),3422,Åmot,3422,Åmot
3422,Åmot,3422,Åmot,3422,Åmot
0430,Stor-Elvdal (-2019),3423,Stor-Elvdal,3423,Stor-Elvdal
3423,Stor-Elvdal,3423,Stor-Elvdal,3423,Stor-Elvdal
0432,Rendalen (1965-2019),3424,Rendalen,3424,Rendalen
3424,Rendalen,3424,Rendalen,3424,Rendalen
0434,Engerdal (1911-2019),3425,Engerdal,3425,Engerdal
3425,Engerdal,3425,Engerdal,3425,Engerdal
0436,Tolga (-2019),3426,Tolga,3426,Tolga
3426,Tolga,3426,Tolga,3426,Tolga
0437,Tynset (-2019),3427,Tynset,3427,Tynset
3427,Tynset,3427,Tynset,3427,Tynset
0438,Alvdal (-2019),3428,Alvdal,3428,Alvdal
3428,Alvdal,3428,Alvdal,3428,Alvdal
0439,Folldal (1914-2019),3429,Folldal,3429,Folldal
3429,Folldal,3429,Folldal,3429,Folldal
0441,Os (Hedmark) (1976-2019),3430,Os,3430,Os
3430,Os,3430,Os,3430,Os
0501,Lillehammer (-2019),3405,Lillehammer,3405,Lillehammer
3405,Lillehammer,3405,Lillehammer,3405,Lillehammer
0502,Gjøvik (-2019),3407,Gjøvik,3407,Gjøvik
3407,Gjøvik,3407,Gjøvik,3407,Gjøvik
0511,Dovre (-2019),3431,Dovre,3431,Dovre
3431,Dovre,3431,Dovre,3431,Dovre
0512,Lesja (-2019),3432,Lesja,3432,Lesja
3432,Lesja,3432,Lesja,3432,Lesja
0513,Skjåk (-2019),3433,Skjåk,3433,Skjåk
3433,Skjåk,3433,Skjåk,3433,Skjåk
0514,Lom (-2019),3434,Lom,3434,Lom
3434,Lom,3434,Lom,3434,Lom
0515,Vågå (-2019),3435,Vågå,3435,Vågå
3435,Vågå,3435,Vågå,3435,Vågå
0516,Nord-Fron (1977-2019),3436,Nord-Fron,3436,Nord-Fron
3436,Nord-Fron,3436,Nord-Fron,3436,Nord-Fron
0517,Sel (1908-2019),3437,Sel,3437,Sel
3437,Sel,3437,Sel,3437,Sel
0519,Sør-Fron (-2019),3438,Sør-Fron,3438,Sør-Fron
3438,Sør-Fron,3438,Sør-Fron,3438,Sør-Fron
0520,Ringebu (-2019),3439,Ringebu,3439,Ringebu
3439,Ringebu,3439,Ringebu,3439,Ringebu
0521,Øyer (-2019),3440,Øyer,3440,Øyer
3440,Øyer,3440,Øyer,3440,Øyer
0522,Gausdal (1962-2019),3441,Gausdal,3441,Gausdal
3441,Gausdal,3441,Gausdal,3441,Gausdal
0528,Østre Toten (-2019),3442,Østre Toten,3442,Østre Toten
3442,Østre Toten,3442,Østre Toten,3442,Østre Toten
0529,Vestre Toten (-2019),3443,Vestre Toten,3443,Vestre Toten
3443,Vestre Toten,3443,Vestre Toten,3443,Vestre Toten
0534,Gran (-2019),3446,Gran,3446,Gran
3446,Gran,3446,Gran,3446,Gran
0536,Søndre Land (-2019),3447,Søndre Land,3447,Søndre Land
3447,Søndre Land,3447,Søndre Land,3447,Søndre Land
0538,Nordre Land (-2019),3448,Nordre Land,3448,Nordre Land
3448,Nordre Land,3448,Nordre Land,3448,Nordre Land
0540,Sør-Aurdal (-2019),3449,Sør-Aurdal,3449,Sør-Aurdal
3449,Sør-Aurdal,3449,Sør-Aurdal,3449,Sør-Aurdal
0541,Etnedal (-2019),3450,Etnedal,3450,Etnedal
3450,Etnedal,3450,Etnedal,3450,Etnedal
0542,Nord-Aurdal (-2019),3451,Nord-Aurdal,3451,Nord-Aurdal
3451,Nord-Aurdal,3451,Nord-Aurdal,3451,Nord-Aurdal
0543,Vestre Slidre (-2019),3452,Vestre Slidre,3452,Vestre Slidre
3452,Vestre Slidre,3452,Vestre Slidre,3452,Vestre Slidre
0544,Øystre Slidre (-2019),3453,Øystre Slidre,3453,Øystre Slidre
3453,Øystre Slidre,3453,Øystre Slidre,3453,Øystre Slidre
0545,Vang (-2019),3454,Vang,3454,Vang
3454,Vang,3454,Vang,3454,Vang
0701,Horten (2002-2019),3801,Horten,3901,Horten
3801,Horten,3801,Horten,3901,Horten
0713,Sande (Vestfold) (-2019),3802,Holmestrand,3903,Holmestrand
0715,Holmestrand (2018-2019),3802,Holmestrand,3903,Holmestrand
3802,Holmestrand,3802,Holmestrand,3903,Holmestrand
0704,Tønsberg (1988-2019),3803,Tønsberg,3905,Tønsberg
0716,Re (2002-2019),3803,Tønsberg,3905,Tønsberg
3803,Tønsberg,3803,Tønsberg,3905,Tønsberg
0710,Sandefjord (2017-2019),3804,Sandefjord,3907,Sandefjord
3804,Sandefjord,3804,Sandefjord,3907,Sandefjord
0712,Larvik (2018-2019),3805,Larvik,3909,Larvik
3805,Larvik,3805,Larvik,3909,Larvik
0729,Færder (2018-2019),3811,Færder,3911,Færder
3811,Færder,3811,Færder,3911,Færder
0805,Porsgrunn (-2019),3806,Porsgrunn,4001,Porsgrunn
3806,Porsgrunn,3806,Porsgrunn,4001,Porsgrunn
0806,Skien (-2019),3807,Skien,4003,Skien
3807,Skien,3807,Skien,4003,Skien
0807,Notodden (1913-2019),3808,Notodden,4005,Notodden
3808,Notodden,3808,Notodden,4005,Notodden
0811,Siljan (-2019),3812,Siljan,4010,Siljan
3812,Siljan,3812,Siljan,4010,Siljan
0814,Bamble (-2019),3813,Bamble,4012,Bamble
3813,Bamble,3813,Bamble,4012,Bamble
0815,Kragerø (1960-2019),3814,Kragerø,4014,Kragerø
3814,Kragerø,3814,Kragerø,4014,Kragerø
0817,Drangedal (-2019),3815,Drangedal,4016,Drangedal
3815,Drangedal,3815,Drangedal,4016,Drangedal
0819,Nome (1964-2019),3816,Nome,4018,Nome
3816,Nome,3816,Nome,4018,Nome
0821,Bø (Telemark) (-2019),3817,Midt-Telemark,4020,Midt-Telemark
0822,Sauherad (-2019),3817,Midt-Telemark,4020,Midt-Telemark
3817,Midt-Telemark,3817,Midt-Telemark,4020,Midt-Telemark
0828,Seljord (-2019),3820,Seljord,4022,Seljord
3820,Seljord,3820,Seljord,4022,Seljord
0827,Hjartdal (-2019),3819,Hjartdal,4024,Hjartdal
3819,Hjartdal,3819,Hjartdal,4024,Hjartdal
0826,Tinn (-2019),3818,Tinn,4026,Tinn
3818,Tinn,3818,Tinn,4026,Tinn
0829,Kviteseid (-2019),3821,Kviteseid,4028,Kviteseid
3821,Kviteseid,3821,Kviteseid,4028,Kviteseid
0830,Nissedal (-2019),3822,Nissedal,4030,Nissedal
3822,Nissedal,3822,Nissedal,4030,Nissedal
0831,Fyresdal (-2019),3823,Fyresdal,4032,Fyresdal
0833,Tokke (1964-2019),3824,Tokke,4034,Tokke
0834,Vinje (-2019),3825,Vinje,4036,Vinje
0901,Risør (-2019),4201,Risør,4201,Risør
0904,Grimstad (-2019),4202,Grimstad,4202,Grimstad
0906,Arendal (1992-2019),4203,Arendal,4203,Arendal
1001,Kristiansand (-2019),4204,Kristiansand,4204,Kristiansand
1017,Songdalen (1964-2019),4204,Kristiansand,4204,Kristiansand
1018,Søgne (-2019),4204,Kristiansand,4204,Kristiansand
1002,Mandal (-2019),4205,Lindesnes,4205,Lindesnes
1021,Marnardal (1964-2019),4205,Lindesnes,4205,Lindesnes
1029,Lindesnes (1964-2019),4205,Lindesnes,4205,Lindesnes
1003,Farsund (-2019),4206,Farsund,4206,Farsund
1004,Flekkefjord (-2019),4207,Flekkefjord,4207,Flekkefjord
0911,Gjerstad (-2019),4211,Gjerstad,4211,Gjerstad
0912,Vegårshei (-2019),4212,Vegårshei,4212,Vegårshei
0914,Tvedestrand (-2019),4213,Tvedestrand,4213,Tvedestrand
0919,Froland (-2019),4214,Froland,4214,Froland
0926,Lillesand (1962-2019),4215,Lillesand,4215,Lillesand
0928,Birkenes (-2019),4216,Birkenes,4216,Birkenes
0929,Åmli (-2019),4217,Åmli,4217,Åmli
0935,Iveland (-2019),4218,Iveland,4218,Iveland
0937,Evje og Hornnes (1960-2019),4219,Evje og Hornnes,4219,Evje og Hornnes
0938,Bygland (-2019),4220,Bygland,4220,Bygland
0940,Valle (-2019),4221,Valle,4221,Valle
0941,Bykle (-2019),4222,Bykle,4222,Bykle
